rules,support,confidence,lift
{semi-finished bread} => {whole milk},0.007117438,0.402298851,1.574456504
{oil} => {whole milk},0.011286223,0.402173913,1.573967543
{yogurt} => {whole milk},0.056024403,0.401603499,1.571735141
{potted plants} => {whole milk},0.006914082,0.4,1.56545961
"{bottled water,rolls/buns} => {other vegetables}",0.007320793,0.302521008,1.563475627
{chocolate} => {soda},0.013523132,0.272540984,1.56293911
{pip fruit} => {whole milk},0.030096594,0.397849462,1.557043161
{pickled vegetables} => {whole milk},0.007117438,0.397727273,1.556564953
"{other vegetables,sausage} => {soda}",0.007219115,0.267924528,1.536465152
"{sausage,soda} => {other vegetables}",0.007219115,0.29707113,1.535309806
"{pastry,soda} => {whole milk}",0.008235892,0.391304348,1.531427879
{onions} => {whole milk},0.012099644,0.390163934,1.526964702
{dessert} => {soda},0.009862735,0.265753425,1.524014537
{hygiene articles} => {whole milk},0.012811388,0.388888889,1.521974621
{brown bread} => {whole milk},0.025216065,0.388714734,1.521293038
"{pork,whole milk} => {rolls/buns}",0.006202339,0.279816514,1.521279941
"{root vegetables,yogurt} => {rolls/buns}",0.007219115,0.279527559,1.519708979
"{newspapers,whole milk} => {rolls/buns}",0.007625826,0.278810409,1.515810045
"{bottled beer,bottled water} => {whole milk}",0.006100661,0.387096774,1.514960913
{other vegetables} => {whole milk},0.074834774,0.386757751,1.513634095
{whole milk} => {other vegetables},0.074834774,0.292877039,1.513634095
{specialty bar} => {soda},0.007219115,0.26394052,1.513618087
"{newspapers,rolls/buns} => {whole milk}",0.007625826,0.386597938,1.513008644
{meat} => {whole milk},0.009964413,0.385826772,1.509990569
"{whole milk,yogurt} => {rolls/buns}",0.015556685,0.277676951,1.509647768
"{pastry,rolls/buns} => {other vegetables}",0.006100661,0.291262136,1.505288022
{pork} => {whole milk},0.022165735,0.384479718,1.504718673
{fruit/vegetable juice} => {other vegetables},0.02104728,0.291139241,1.50465288
{bottled water} => {soda},0.028978139,0.262189512,1.503576592
{hygiene articles} => {other vegetables},0.009557702,0.290123457,1.499403152
"{soda,yogurt} => {whole milk}",0.010472801,0.382899628,1.498534757
"{rolls/buns,sausage} => {other vegetables}",0.008845958,0.289036545,1.493785822
{brown bread} => {other vegetables},0.018708693,0.288401254,1.490502539
{cat food} => {whole milk},0.008845958,0.379912664,1.486844826
{sausage} => {soda},0.024300966,0.258658009,1.483324499
{butter milk} => {rolls/buns},0.007625826,0.272727273,1.482737826
{sausage} => {other vegetables},0.026944586,0.286796537,1.482209112
{misc. beverages} => {soda},0.007320793,0.258064516,1.479921001
"{other vegetables,sausage} => {whole milk}",0.010167768,0.377358491,1.476848689
{long life bakery product} => {other vegetables},0.010676157,0.285326087,1.474609598
{napkins} => {whole milk},0.01972547,0.376699029,1.474267788
{salty snack} => {other vegetables},0.010777834,0.284946237,1.472646472
"{soda,tropical fruit} => {whole milk}",0.007829181,0.375609756,1.470004756
"{other vegetables,pastry} => {rolls/buns}",0.006100661,0.27027027,1.469379828
{pastry} => {whole milk},0.033248602,0.373714286,1.46258655
{fruit/vegetable juice} => {soda},0.01840366,0.254571027,1.459886908
{meat} => {rolls/buns},0.006914082,0.267716535,1.455495924
"{other vegetables,root vegetables,whole milk} => {rolls/buns}",0.006202339,0.26754386,1.454557136
{dessert} => {whole milk},0.013726487,0.369863014,1.447514023
{cat food} => {other vegetables},0.006507372,0.279475983,1.444375349
{ham} => {rolls/buns},0.006914082,0.265625,1.444124862
{frankfurter} => {other vegetables},0.016471784,0.279310345,1.443519307
{citrus fruit} => {whole milk},0.030503305,0.368550369,1.442376791
{fruit/vegetable juice} => {whole milk},0.026639553,0.368495077,1.4421604
"{rolls/buns,yogurt} => {soda}",0.008642603,0.25147929,1.442156744
"{other vegetables,yogurt} => {rolls/buns}",0.011489578,0.264637002,1.43875341
{napkins} => {other vegetables},0.014438231,0.275728155,1.425005995
{long life bakery product} => {whole milk},0.013523132,0.361413043,1.414443805
"{bottled water,rolls/buns} => {whole milk}",0.008744281,0.361344538,1.414175698
{hamburger meat} => {rolls/buns},0.008642603,0.259938838,1.413210874
"{root vegetables,whole milk} => {rolls/buns}",0.01270971,0.25987526,1.412865219
{beef} => {rolls/buns},0.013624809,0.259689922,1.411857594
"{tropical fruit,whole milk} => {rolls/buns}",0.01098119,0.259615385,1.411452354
"{other vegetables,root vegetables} => {rolls/buns}",0.012201322,0.25751073,1.400009964
"{pastry,whole milk} => {rolls/buns}",0.008540925,0.256880734,1.396584864
"{shopping bags,soda} => {rolls/buns}",0.006304016,0.256198347,1.392874927
{berries} => {whole milk},0.011794611,0.354740061,1.388328095
"{bottled water,whole milk} => {rolls/buns}",0.008744281,0.25443787,1.383303731
{frozen meals} => {other vegetables},0.007524148,0.265232975,1.37076527
{margarine} => {rolls/buns},0.014743264,0.251736111,1.368615065
{cream cheese} => {rolls/buns},0.009964413,0.251282051,1.366146476
{frankfurter} => {whole milk},0.020538892,0.348275862,1.363029488
{frozen meals} => {whole milk},0.009862735,0.347670251,1.360659338
{waffles} => {other vegetables},0.01006609,0.261904762,1.353564547
{newspapers} => {whole milk},0.027351296,0.342675159,1.341110303
"{rolls/buns,soda} => {other vegetables}",0.009862735,0.25729443,1.329737633
{chocolate} => {other vegetables},0.01270971,0.256147541,1.323810334
{chocolate} => {whole milk},0.01667514,0.336065574,1.315242705
{pastry} => {other vegetables},0.022572445,0.253714286,1.311234892
"{fruit/vegetable juice,soda} => {whole milk}",0.006100661,0.331491713,1.297342218
{waffles} => {whole milk},0.01270971,0.330687831,1.294196106
"{other vegetables,shopping bags} => {whole milk}",0.007625826,0.328947368,1.287384548
{grapes} => {whole milk},0.007320793,0.327272727,1.28083059
{coffee} => {whole milk},0.018708693,0.322241681,1.261140842
{sausage} => {whole milk},0.029893238,0.318181818,1.245251963
{bottled water} => {whole milk},0.034367056,0.310947562,1.216939623
{rolls/buns} => {whole milk},0.056634469,0.30790492,1.205031789
"{rolls/buns,sausage} => {whole milk}",0.009354347,0.305647841,1.196198373
{salty snack} => {whole milk},0.011184545,0.295698925,1.157261808
"{shopping bags,soda} => {whole milk}",0.006812405,0.276859504,1.083530928
"{sausage,soda} => {whole milk}",0.006710727,0.276150628,1.080756635
{candy} => {whole milk},0.008235892,0.275510204,1.078250242
{specialty chocolate} => {whole milk},0.008032537,0.264214047,1.034041047
{beverages} => {whole milk},0.006812405,0.26171875,1.024275331
"{bottled water,soda} => {whole milk}",0.007524148,0.259649123,1.016175536
{bottled beer} => {whole milk},0.020437214,0.253787879,0.993236684
